Player,Year,Tm,Lg,G,GS,Tgt,Rec,Yds,Rec Y/R,Rec TD,Rec Y/G,Rec Ctch%,Rec Y/Tgt
Tim Wright,2013,TAM,NFL,16,8,76,54,571,10.57,5,35.7,71.10%,7.51
Tim Wright,2014,NWE,NFL,16,2,33,26,259,9.96,6,16.2,78.80%,7.85
Jason Witten,2013,DAL,NFL,16,16,111,73,851,11.66,8,53.2,65.80%,7.67
Jason Witten,2014,DAL,NFL,16,16,90,64,703,10.98,5,43.9,71.10%,7.81
Jason Witten,2015,DAL,NFL,16,16,104,77,713,9.26,3,44.6,74.00%,6.86
Jason Witten,2016,DAL,NFL,16,16,95,69,673,9.75,3,42.1,72.60%,7.08
Jason Witten,2010,DAL,NFL,16,16,128,94,1002,10.66,9,62.6,73.40%,7.83
Jason Witten,2017,DAL,NFL,16,16,87,63,560,8.89,5,35,72.40%,6.44
Jason Witten,2011,DAL,NFL,16,16,117,79,942,11.92,5,58.9,67.50%,8.05
Jason Witten,2019,DAL,NFL,16,16,83,63,529,8.4,4,33.1,75.90%,6.37
Jason Witten,2012,DAL,NFL,16,16,147,110,1039,9.45,3,64.9,74.80%,7.07
Kellen Winslow,2010,TAM,NFL,16,11,98,66,730,11.06,5,45.6,67.30%,7.45
Kellen Winslow,2011,TAM,NFL,16,15,123,75,763,10.17,2,47.7,61.00%,6.2
Kellen Winslow,2013,NYJ,NFL,12,3,47,31,388,12.52,2,32.3,66.00%,8.26
Maxx Williams,2015,BAL,NFL,14,7,48,32,268,8.38,1,19.1,66.70%,5.58
Ben Watson,2010,CLE,NFL,16,16,102,68,763,11.22,3,47.7,66.70%,7.48
Ben Watson,2011,CLE,NFL,13,11,70,37,410,11.08,2,31.5,52.90%,5.86
Ben Watson,2012,CLE,NFL,16,14,82,49,501,10.22,3,31.3,59.80%,6.11
Ben Watson,2015,NOR,NFL,16,16,110,74,825,11.15,6,51.6,67.30%,7.5
Ben Watson,2017,BAL,NFL,16,12,79,61,522,8.56,4,32.6,77.20%,6.61
Ben Watson,2018,NOR,NFL,16,4,46,35,400,11.43,2,25,76.10%,8.7
Darren Waller,2019,OAK,NFL,16,16,117,90,1145,12.72,3,71.6,76.90%,9.79
Delanie Walker,2013,TEN,NFL,15,11,86,60,571,9.52,6,38.1,69.80%,6.64
Delanie Walker,2014,TEN,NFL,15,14,106,63,890,14.13,4,59.3,59.40%,8.4
Delanie Walker,2015,TEN,NFL,15,10,133,94,1088,11.57,6,72.5,70.70%,8.18
Delanie Walker,2016,TEN,NFL,15,10,102,65,800,12.31,7,53.3,63.70%,7.84
Delanie Walker,2017,TEN,NFL,16,11,111,74,807,10.91,3,50.4,66.70%,7.27
Delanie Walker,2010,SFO,NFL,14,8,45,29,331,11.41,0,23.6,64.40%,7.36
Clive Walford,2016,OAK,NFL,15,8,52,33,359,10.88,3,23.9,63.50%,6.9
