Tm,Year,G,W-L%,Points for,Points Against,Point Diff,Pen,Pen. Yds,Pen. Opp,Pen. OppYds,Tot yds,Opp Turnovers 
NWE,2019,16,0.75,420,225,195,94,828,107,920,4414,36
PIT,2011,16,0.75,325,227,98,101,854,96,777,4348,15
SFO,2011,16,0.813,380,229,151,113,1014,98,867,4931,38
SEA,2013,16,0.813,417,231,186,128,1183,98,879,4378,39
PIT,2010,16,0.75,375,232,143,100,903,86,727,4429,35
GNB,2010,16,0.625,388,240,148,78,617,98,758,4945,32
CAR,2013,16,0.75,366,241,125,80,671,84,753,4820,30
SEA,2012,16,0.688,412,245,167,110,890,102,902,4899,31
NWE,2016,16,0.875,441,250,191,93,819,113,930,5223,23
MIN,2017,16,0.813,382,252,130,100,949,105,928,4415,19
SEA,2014,16,0.75,394,254,140,130,1009,70,613,4274,24
BUF,2019,16,0.625,314,259,55,117,927,94,815,4772,23
BAL,2011,16,0.75,378,266,112,92,742,103,1032,4622,26
JAX,2017,16,0.625,417,268,149,112,936,112,1050,4578,33
BAL,2010,16,0.75,357,270,87,90,673,117,984,5102,27
LAC,2017,16,0.563,355,272,83,108,927,109,996,5254,27
SFO,2013,16,0.75,406,272,134,103,845,96,878,5071,30
SFO,2012,16,0.719,397,273,124,109,960,93,758,4710,25
CHI,2012,16,0.625,375,277,98,102,811,78,704,5050,44
SEA,2015,16,0.625,423,277,146,117,1007,94,795,4668,23
HOU,2011,16,0.625,381,278,103,99,852,88,686,4571,27
CIN,2015,16,0.75,419,279,140,111,917,116,1063,5453,28
KAN,2014,16,0.563,353,281,72,88,681,107,851,5288,14
DET,2014,16,0.688,321,282,39,118,989,99,849,4815,27
BAL,2019,16,0.875,531,282,249,109,867,97,795,4809,25
CHI,2018,16,0.75,421,283,138,97,796,114,1022,4795,36
NYG,2016,16,0.688,310,284,26,88,857,104,853,5435,25
CHI,2010,16,0.688,334,286,48,91,768,93,790,5029,35
KAN,2015,16,0.688,405,287,118,104,878,110,941,5269,29
BAL,2018,16,0.625,389,287,102,116,940,113,1017,4687,17
ATL,2010,16,0.813,414,288,126,58,598,116,1003,5319,31
BUF,2014,16,0.563,343,289,54,124,1031,104,849,4995,30
DEN,2012,16,0.813,481,289,192,100,805,123,951,4652,24
SEA,2016,16,0.656,354,292,62,117,970,103,925,5099,19
PHI,2017,16,0.813,457,295,162,116,962,101,917,4904,31
DEN,2015,16,0.75,355,296,59,115,1063,104,773,4530,27
NWE,2017,16,0.813,458,296,162,95,835,111,1035,5856,18
DEN,2016,16,0.563,333,297,36,119,985,110,990,5057,27
CHI,2019,16,0.5,280,298,-18,103,838,113,923,5186,19
ATL,2012,16,0.813,419,299,120,55,415,83,641,5849,31
ARI,2014,16,0.688,310,299,11,91,707,130,1192,5891,25
MIN,2015,16,0.688,365,302,63,88,797,109,875,5507,22
BAL,2014,16,0.625,409,302,107,111,870,110,1007,5391,22
MIN,2019,16,0.625,407,303,104,96,895,83,713,5465,31
TEN,2018,16,0.563,310,303,7,82,727,120,984,5334,17
PIT,2019,16,0.5,289,303,-14,111,893,115,1118,4866,38
BAL,2017,16,0.563,395,303,92,91,749,96,807,5201,34
NOR,2013,16,0.688,414,304,110,95,817,91,750,4891,19
NYJ,2010,16,0.688,367,304,63,103,934,74,679,4664,30
CIN,2013,16,0.688,430,305,125,102,1000,69,692,4888,31
KAN,2013,16,0.688,430,305,125,101,774,112,852,5885,36
DAL,2016,16,0.813,421,306,115,105,879,90,784,5503,20
CLE,2011,16,0.25,218,307,-89,95,847,90,726,5318,20
HOU,2014,16,0.563,372,307,65,94,834,99,786,5571,34
MIN,2016,16,0.5,327,307,20,103,882,99,825,5038,27
NOR,2010,16,0.688,384,307,77,90,884,88,701,4900,25
CAR,2015,16,0.938,500,308,192,103,887,99,822,5167,39
KAN,2019,16,0.75,451,308,143,107,1029,116,844,5594,23
PIT,2017,16,0.813,406,308,98,101,897,110,1041,4910,22
SFO,2019,16,0.813,479,310,169,105,939,116,957,4509,27
KAN,2016,16,0.75,389,311,78,109,848,109,797,5896,33
ARI,2015,16,0.813,489,313,176,94,758,130,1202,5147,33
GNB,2019,16,0.813,376,313,63,100,774,97,968,5642,25
HOU,2015,16,0.563,339,313,26,107,910,116,991,4963,25
MIA,2011,16,0.375,329,313,16,85,779,112,975,5522,19
NWE,2010,16,0.875,518,313,205,83,766,84,687,5864,38
NWE,2014,16,0.75,468,313,155,120,1080,92,752,5506,25
NYJ,2015,16,0.625,387,314,73,96,787,90,767,5098,30
PIT,2012,16,0.5,336,314,22,92,938,100,882,4413,20
ATL,2017,16,0.625,353,315,38,102,918,103,880,5094,16
CIN,2016,16,0.406,325,315,10,88,726,105,950,5612,20
NWE,2015,16,0.75,465,315,150,96,860,112,1013,5455,21
SEA,2011,16,0.438,321,315,6,138,1047,96,907,5317,31
DEN,2019,16,0.438,282,316,-34,110,912,121,1041,5392,17
HOU,2018,16,0.688,402,316,86,105,787,117,945,5490,29
JAX,2018,16,0.313,245,316,-71,121,1112,92,735,4983,17
MIA,2012,16,0.438,288,317,-29,82,724,121,1045,5708,16
TEN,2011,16,0.563,325,317,8,104,960,99,812,5682,23
TAM,2010,16,0.625,341,318,23,100,837,79,676,5323,28
PIT,2015,16,0.625,423,319,104,94,868,121,1199,5809,30
CHI,2017,16,0.313,264,320,-56,115,943,118,910,5106,22
CIN,2012,16,0.625,391,320,71,99,857,90,779,5115,30
DAL,2019,16,0.5,434,321,113,109,1008,102,855,5232,17
BAL,2016,16,0.5,343,321,22,125,1111,94,900,5154,28
SDG,2010,16,0.563,441,322,119,84,677,97,769,4345,23
CIN,2011,16,0.563,344,323,21,99,874,101,878,5060,22
GNB,2015,16,0.625,368,323,45,105,906,120,1107,5547,22
ARI,2013,16,0.625,379,324,55,96,744,111,960,5079,30
DAL,2018,16,0.625,339,324,15,104,885,89,681,5268,20
NWE,2018,16,0.688,436,325,111,93,744,91,838,5746,28
KAN,2010,16,0.625,366,326,40,90,771,111,922,5283,23
NOR,2017,16,0.688,448,326,122,105,967,108,850,5384,25
CAR,2017,16,0.688,363,327,36,83,682,101,867,5074,21
PIT,2016,16,0.688,399,327,72,112,1068,109,920,5482,23
HOU,2016,16,0.563,279,328,-49,87,868,114,949,4821,17
PHI,2011,16,0.5,396,328,68,107,853,97,813,5198,24
STL,2010,16,0.438,289,328,-39,102,877,126,1008,5388,26
JAX,2011,16,0.313,243,329,-86,77,680,105,895,5008,28
LAR,2017,16,0.688,478,329,149,107,922,102,808,5432,28
LAC,2018,16,0.75,428,329,99,113,967,103,828,5339,20
STL,2015,16,0.438,280,330,-50,122,1057,109,992,5885,26
HOU,2012,16,0.75,416,331,85,108,873,90,863,5172,29
NWE,2012,16,0.75,557,331,226,97,840,101,932,5972,41
