Player,Year,Tm,Games,Games Started,Rush Att,Rush Yds,Yards /Att,TD,Yds/Game,Targets,Receptions,Yds,Rec Y/R,Rec TD,Rec Y/G,Rec Ctch%,Rec Y/Tgt
T.J. Yeldon,2015,JAX,12,12,182,740,4.07,2,61.7,46,36,279,7.75,1,23.3,78.30%,6.07
DeAngelo Williams,2011,CAR,16,14,155,836,5.39,7,52.3,25,16,135,8.44,0,8.4,64.00%,5.4
DeAngelo Williams,2012,CAR,16,10,173,737,4.26,5,46.1,20,13,187,14.38,2,11.7,65.00%,9.35
DeAngelo Williams,2013,CAR,15,15,201,843,4.19,3,56.2,36,26,333,12.81,1,22.2,72.20%,9.25
DeAngelo Williams,2015,PIT,16,10,200,907,4.54,11,56.7,47,40,367,9.18,0,22.9,85.10%,7.81
Andre Williams,2014,NYG,16,7,217,721,3.32,7,45.1,37,18,130,7.22,0,8.1,48.60%,3.51
Terrance West,2016,BAL,16,13,193,774,4.01,5,48.4,45,34,236,6.94,1,14.8,75.60%,5.24
Beanie Wells,2011,ARI,14,14,245,1047,4.27,10,74.8,16,10,52,5.2,0,3.7,62.50%,3.25
Spencer Ware,2016,KAN,14,14,214,921,4.3,3,65.8,42,33,447,13.55,2,31.9,78.60%,10.64
Michael Turner,2010,ATL,16,15,334,1371,4.1,12,85.7,20,12,85,7.08,0,5.3,60.00%,4.25
Michael Turner,2011,ATL,16,15,301,1340,4.45,11,83.8,26,17,168,9.88,0,10.5,65.40%,6.46
Michael Turner,2012,ATL,16,16,222,800,3.6,10,50,30,19,128,6.74,1,8,63.30%,4.27
Ryan Torain,2010,WAS,10,8,164,742,4.52,4,74.2,27,18,125,6.94,2,12.5,66.70%,4.63
LaDainian Tomlinson*,2010,NYJ,15,13,219,914,4.17,6,60.9,79,52,368,7.08,0,24.5,65.80%,4.66
Mike Tolbert,2010,SDG,15,4,182,735,4.04,11,49,29,25,216,8.64,0,14.4,86.20%,7.45
Ben Tate,2011,HOU,15,2,175,942,5.38,4,62.8,19,13,98,7.54,0,6.5,68.40%,5.16
Ben Tate,2013,HOU,14,7,181,771,4.26,4,55.1,49,34,140,4.12,0,10,69.40%,2.86
Jonathan Stewart,2010,CAR,14,7,178,770,4.33,2,55,14,8,103,12.88,1,7.4,57.10%,7.36
Jonathan Stewart,2011,CAR,16,3,142,761,5.36,4,47.6,61,47,413,8.79,1,25.8,77.00%,6.77
Jonathan Stewart,2014,CAR,13,8,175,809,4.62,3,62.2,31,25,181,7.24,1,13.9,80.60%,5.84
Jonathan Stewart,2015,CAR,13,13,242,989,4.09,6,76.1,21,16,99,6.19,1,7.6,76.20%,4.71
Jonathan Stewart,2016,CAR,13,13,218,824,3.78,9,63.4,21,8,60,7.5,0,4.6,38.10%,2.86
Zac Stacy,2013,STL,14,12,250,973,3.89,7,69.5,35,26,141,5.42,1,10.1,74.30%,4.03
C.J. Spiller,2012,BUF,16,9,207,1244,6.01,6,77.8,57,43,459,10.67,2,28.7,75.40%,8.05
C.J. Spiller,2013,BUF,15,10,202,933,4.62,2,62.2,41,33,185,5.61,0,12.3,80.50%,4.51
Devin Singletary,2019,BUF,12,8,151,775,5.13,2,64.6,41,29,194,6.69,2,16.2,70.70%,4.73
Miles Sanders,2019,PHI,16,11,179,818,4.57,3,51.1,63,50,509,10.18,3,31.8,79.40%,8.08
Stevan Ridley,2012,NWE,16,12,290,1263,4.36,12,78.9,14,6,51,8.5,0,3.2,42.90%,3.64
Stevan Ridley,2013,NWE,14,6,178,773,4.34,7,55.2,12,10,62,6.2,0,4.4,83.30%,5.17
Trent Richardson,2012,CLE,15,15,267,950,3.56,11,63.3,70,51,367,7.2,1,24.5,72.90%,5.24
Ray Rice,2010,BAL,16,14,307,1220,3.97,5,76.3,83,63,556,8.83,1,34.8,75.90%,6.7
Ray Rice,2011,BAL,16,16,291,1364,4.69,12,85.3,104,76,704,9.26,3,44,73.10%,6.77
Ray Rice,2012,BAL,16,16,257,1143,4.45,9,71.4,83,61,478,7.84,1,29.9,73.50%,5.76
Thomas Rawls,2015,SEA,13,7,147,830,5.65,4,63.8,11,9,76,8.44,1,5.8,81.80%,6.91
Bilal Powell,2016,NYJ,16,4,131,722,5.51,3,45.1,74,58,388,6.69,2,24.3,78.40%,5.24
Bilal Powell,2017,NYJ,15,10,178,772,4.34,5,51.5,33,23,170,7.39,0,11.3,69.70%,5.15
Adrian Peterson,2010,MIN,15,15,283,1298,4.59,12,86.5,50,36,341,9.47,1,22.7,72.00%,6.82
Adrian Peterson,2011,MIN,12,12,208,970,4.66,12,80.8,24,18,139,7.72,1,11.6,75.00%,5.79
